ID,KGW
id1,1.83351655
id2,-1.01848345
id3,1.66551655
id4,0.30294745
id5,-0.61448345
id6,2.09951655
id7,1.07101655
id8,1.85501655
id9,-0.37848345
id10,0.32701655
id11,0.98851655
id12,-1.13098345
id13,-1.23698345
id14,1.27101655
id15,-1.82948345
id16,1.34151655
id17,-2.47748345
id18,-3.92198345
id19,1.64944745
id20,-1.51255255
id21,1.25551655
id22,-1.02055255
id23,0.27401655
id24,-1.39348345
id25,-0.22598345
id26,0.02251655
id27,1.41901655
id28,-2.36598345
id29,-0.40948345
id30,-1.76898345
id31,2.24401655
id32,-0.35448345
id33,1.71951655
id34,-1.81398345
id35,2.60501655
id36,2.78701655
id37,-1.17448345
id38,-0.63798345
id39,-0.41298345
id40,1.65351655
id41,-1.24048345
id42,-0.54098345
id43,-1.08598345
id44,-0.20348345
id45,-0.46448345
id46,-1.73348345
id47,0.89901655
id48,2.33201655
id49,0.73851655
id50,-3.55798345
id51,-0.42798345
id52,2.32151655
id53,0.65801655
id54,0.52051655
id55,-0.57598345
id56,0.10644745
id57,3.64901655
id58,-0.26255255
id59,-2.15198345
id60,-3.06498345
id61,-0.49948345
id62,-0.52798345
id63,-0.09648345
id64,3.28051655
id65,1.54751655
id66,2.31751655
id67,-2.45948345
id68,0.09251655
id69,2.31801655
id70,-0.52998345
id71,0.87351655
id72,-0.38148345
id73,-0.22548345
id74,-2.90798345
id75,-1.76548345
id76,-2.04498345
id77,-3.11398345
id78,-1.06298345
id79,-0.27998345
id80,1.90151655
id81,-2.10448345
id82,-2.87298345
id83,-1.21698345
id84,0.52351655
id85,1.91201655
id86,3.76651655
id87,2.56451655
id88,-1.42598345
id89,-1.16998345
id90,-0.18048345
id91,3.10551655
id92,1.72951655
id93,-0.31998345
id94,0.14101655
id95,0.02651655
id96,-2.15048345
id97,-3.51298345
id98,0.98651655
id99,-0.07748345
id100,-0.34598345
id101,-0.07405255
id102,1.72101655
id103,-2.52998345
id104,0.74901655
id105,0.63051655
id106,0.75751655
id107,-1.65198345
id108,0.80401655
id109,1.16101655
id110,-1.06098345
id111,0.81101655
id112,2.60001655
id113,0.58251655
id114,-0.09648345
id115,4.48501655
id116,1.20001655
id117,0.09751655
id118,-0.05598345
id119,0.35201655
id120,-1.13598345
id121,0.76101655
id122,2.98401655
id123,2.33444745
id124,-2.49098345
id125,1.06751655
id126,-0.95155255
id127,-1.21348345
id128,-0.28748345
id129,-2.57598345
id130,-1.22148345
id131,-0.85748345
id132,1.08051655
id133,2.42201655
id134,-1.76098345
id135,-0.81998345
id136,-0.29055255
id137,-2.39498345
id138,0.98101655
id139,-0.60798345
id140,1.69201655
id141,-0.34248345
id142,-0.38098345
id143,2.42051655
id144,2.23001655
id145,-0.45148345
id146,2.31651655
id147,-0.45148345
id148,-1.33898345
id149,-1.07498345
id150,0.59001655
id151,-2.02398345
id152,0.89594745
id153,0.09551655
id154,-0.62648345
id155,0.34101655
id156,0.17951655
id157,3.24401655
id158,-0.82998345
id159,0.30801655
id160,-0.92398345
id161,0.28451655
id162,2.17651655
id163,0.83151655
id164,-1.01198345
id165,-0.84998345
id166,-2.75598345
id167,1.04201655
id168,-0.24098345
id169,4.15001655
id170,-0.45748345
id171,-1.76998345
id172,-1.75248345
id173,2.31701655
id174,-1.93848345
id175,-1.33998345
id176,1.16244745
id177,0.03544745
id178,-0.45298345
id179,1.25201655
id180,-2.09848345
id181,0.26851655
id182,-1.21848345
id183,1.12751655
id184,-0.09698345
id185,4.03301655
id186,0.62851655
id187,-1.11698345
id188,-2.74898345
id189,1.98151655
id190,0
id191,0.88351655
id192,1.80501655
id193,-0.34555255
id194,-0.95248345
id195,1.81251655
id196,-0.81498345
id197,-2.97398345
id198,-2.36298345
id199,-3.14298345
id200,-1.02748345
id201,1.34401655
id202,3.06901655
id203,-1.65648345
id204,4.16951655
id205,-1.63648345
id206,-2.38498345
id207,-0.32098345
id208,-2.10905255
id209,-1.08248345
id210,-2.19148345
id211,3.27701655
id212,-3.59298345
id213,1.66151655
id214,0.83644745
id215,-1.65548345
id216,-0.38298345
id217,-0.71648345
id218,-0.63298345
id219,-4.43298345
id220,-1.83298345
id221,0.88644745
id222,1.52101655
id223,-1.50148345
id224,-0.44098345
id225,2.47151655
id226,-1.42798345
id227,-3.60248345
id228,-4.71648345
id229,-0.25148345
id230,3.31651655
id231,-0.08855255
id232,-1.00905255
id233,3.07701655
id234,-2.39598345
id235,-2.17348345
id236,-0.14098345
id237,0.86901655
id238,-2.33498345
id239,0.91901655
id240,2.78501655
id241,-0.55148345
id242,0
id243,0.55251655
id244,-2.92898345
id245,0.27451655
id246,-0.25598345
id247,1.97201655
id248,0.65201655
id249,-1.07948345
id250,1.62301655
id251,-0.61205255
id252,0.82501655
id253,1.85601655
id254,1.22794745
id255,1.07544745
id256,-0.22455255
id257,1.02901655
id258,0.61001655
id259,1.89101655
id260,0.68294745
id261,-0.38848345
id262,3.39301655
id263,1.44751655
id264,3.41501655
id265,1.95001655
id266,-1.90955255
id267,-0.97955255
id268,1.57144745
id269,1.08551655
id270,0.82451655
id271,-1.67948345
id272,-0.64205255
id273,1.39901655
id274,-3.21298345
id275,0.36844745
id276,-3.43648345
id277,2.46301655
id278,0.11544745
